order_id,merchant_id,customer_name,customer_address,area,city,pincode,latitude,longitude,sku,quantity,order_value,payment_type,order_date,order_status
ORD000001,M001,Ananya Bhat,"House 321, 5th Cross, Mahadevapura, Bangalore",Mahadevapura,Bangalore,560048,12.99244,77.68525,DRESS_BLUE_M,2,1195.63,PREPAID,2026-05-12,pending
ORD000002,M001,Deepak Murthy,"Flat 179, 4th Main, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.971877,77.750254,SHOES_WHITE_9,3,2370.69,COD,2026-05-11,pending
ORD000003,M001,Vidya Biswas,"House 59, 6th Cross, Domlur, Bangalore",Domlur,Bangalore,560071,12.958836,77.643203,SNEAKERS_GREY_9,3,3025.01,PREPAID,2026-05-08,cancelled
ORD000004,M001,Suresh Babu,"Apartment 277, 5thth Main, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.936937,77.679611,TSHIRT_WHITE_M,3,2215.18,PREPAID,2026-05-12,pending
ORD000005,M001,Kavya Chauhan,"House 321, 2nd Cross, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.912287,77.647868,DRESS_RED_S,3,4765.95,COD,2026-05-07,processing
ORD000006,M001,Abhinav Biswas,"Flat 79, 1st Main, Ulsoor, Bangalore",Ulsoor,Bangalore,560008,12.980942,77.624639,FORMAL_SHIRT_BLUE_M,3,3835.19,PREPAID,2026-05-11,pending
ORD000007,M001,Akash Babu,"323, A Block, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.965532,77.74678,HOODIE_NAVY_M,3,4598.44,COD,2026-05-11,pending
ORD000008,M001,Indira Patel,"Flat 184, 2nd Main, Whitefield, Bangalore",Whitefield,Bangalore,560066,12.971533,77.750348,SPORTS_TSHIRT_RED_L,3,3900.82,PREPAID,2026-05-10,pending
ORD000009,M001,Meera Chopra,"#70, 7thth Cross, Electronic City, Bangalore",Electronic City,Bangalore,560100,12.843015,77.664467,SAREE_SILK_RED,2,637.69,PREPAID,2026-05-10,pending
ORD000010,M001,Anita Bose,"No. 64, 1st Stage, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.932241,77.680173,PERFUME_100ML,3,4771.59,PREPAID,2026-05-13,pending
ORD000011,M001,Akash Biswas,"No. 83, 2nd Stage, HSR Layout, Bangalore",HSR Layout,Bangalore,560102,12.91667,77.646047,BACKPACK_GREY,3,2046.33,PREPAID,2026-05-09,confirmed
ORD000012,M001,Ganesh Banerjee,"Flat 129, 2nd Main, Marathahalli, Bangalore",Marathahalli,Bangalore,560037,12.955914,77.700397,TSHIRT_WHITE_L,3,2972.49,PREPAID,2026-05-16,pending
ORD000013,M001,Vishal Pandey,"Villa 316, 5th Cross Road, Bellandur, Bangalore",Bellandur,Bangalore,560103,12.934371,77.680113,HOODIE_GREY_L,1,5580.3,COD,2026-05-05,pending
ORD000014,M001,Keerthi Biswas,"Plot 142, 6th Main Road, BTM Layout, Bangalore",BTM Layout,Bangalore,560076,12.915245,77.608263,BAG_CANVAS_BLACK,1,1495.87,COD,2026-05-11,pending
